Feature,Importance
TotalCharges,0.139834221889057
tenure,0.1259165986229148
RevenuePerMonth,0.11827849302612195
YearlyRevenue,0.11610321054884049
MonthlyCharges,0.11290578992012297
Contract,0.06954781152656388
OnlineSecurity,0.048671752501106995
PaymentMethod,0.04075845615244247
TechSupport,0.03236466576089351
OnlineBackup,0.02223882406849918
gender,0.02144704866220254
PaperlessBilling,0.021271732310113953
InternetService,0.02098785205019151
Partner,0.01827581945498581
SeniorCitizen,0.016529247087278074
MultipleLines,0.016510517538605805
DeviceProtection,0.01589601272336986
Dependents,0.015236225131073226
StreamingMovies,0.012861419808043392
StreamingTV,0.010887025041170801
PhoneService,0.0034772761764019877
