Feature,Importance
Contract,0.37188154
TechSupport,0.112084575
OnlineSecurity,0.091225475
InternetService,0.08963902
tenure,0.039673585
StreamingMovies,0.030638294
PaperlessBilling,0.0281699
MonthlyCharges,0.028125532
MultipleLines,0.026230836
OnlineBackup,0.026014011
PaymentMethod,0.019904114
PhoneService,0.019697674
TotalCharges,0.018447256
SeniorCitizen,0.018032147
StreamingTV,0.016866488
RevenuePerMonth,0.01449322
DeviceProtection,0.013542933
Dependents,0.013376363
Partner,0.011938986
gender,0.010018075
YearlyRevenue,0.0
